params	results
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 8}	0.73125
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 9}	0.75
{'B': 400, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 10}	0.78125
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 5}	0.725
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 6}	0.71875
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 7}	0.7125
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 8}	0.725
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 9}	0.7125
{'B': 400, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 10}	0.7125
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 5}	0.73125
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 6}	0.7375
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 7}	0.71875
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 8}	0.7375
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 9}	0.73125
{'B': 400, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 10}	0.725
{'B': 400, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 5}	0.7375
